id,"name",city_id,"created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
140,"邹城市",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
141,"微山县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
142,"鱼台县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
143,"金乡县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
144,"嘉祥县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
145,"汶上县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
146,"泗水县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
147,"梁山县",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
148,"济南市",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
149,"市中区",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
150,"历下区",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
151,"槐荫区",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
152,"天桥区",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
153,"历城区",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
154,"长清区",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
155,"章丘市",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
156,"平阴县",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
157,"济阳县",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
158,"商河县",18,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
159,"德州市",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
160,"德城区",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
161,"乐陵市",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
162,"禹城市",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
163,"陵县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
164,"平原县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
165,"夏津县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
166,"武城县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
167,"齐河县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
168,"临邑县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
169,"宁津县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
170,"庆云县",19,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
171,"滨州市",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
172,"滨城区",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
173,"惠民县",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
174,"阳信县",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
175,"无棣县",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
176,"沾化县",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
177,"博兴县",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
178,"邹平县",20,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
179,"烟台市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
180,"莱山区",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
181,"芝罘区",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
182,"福山区",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
183,"牟平区",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
184,"栖霞市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
185,"海阳市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
186,"龙口市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
187,"莱阳市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
188,"莱州市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
189,"蓬莱市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
190,"招远市",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
191,"长岛县",21,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
192,"聊城市",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
193,"东昌府区",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
194,"临清市",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
195,"阳谷县",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
196,"莘县",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
197,"茌平县",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
198,"东阿县",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
199,"冠县",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
200,"高唐县",22,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
201,"莱芜市",23,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
202,"莱城区",23,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
203,"钢城区",23,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
204,"枣庄市",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
205,"薛城区",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
206,"市中区",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
207,"峄城区",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
208,"台儿庄区",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
209,"山亭区",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
210,"滕州市",24,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
211,"青岛市",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
212,"市南区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
213,"市北区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
214,"四方区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
215,"黄岛区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
216,"崂山区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
217,"城阳区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
218,"李沧区",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
219,"胶州市",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
220,"即墨市",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
221,"平度市",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
222,"胶南市",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
223,"莱西市",25,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
224,"东营市",26,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
225,"东营区",26,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
226,"河口区",26,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
227,"垦利县",26,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
228,"利津县",26,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
229,"广饶县",26,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
230,"临沂市",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
231,"兰山区",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
232,"罗庄区",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
233,"河东区",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
234,"郯城县",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
235,"苍山县",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
236,"莒南县",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
237,"沂水县",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
238,"蒙阴县",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
239,"平邑县",27,"2010-08-12 10:41:23","2012-09-25 19:14:38",1,1,NULL,1,1,1
